OPeNDAP Linking

RCM  | GCM          | Table | Version
-----|--------------|-------|--------
CRCM | CCSM-CURRENT |   1   | 1
     |              |   2   | 4
     |              |   3   | 6
     |              |   5   | 2
     | CCSM-FUTURE  |   1   | 1
     |              |   2   | 4
     |              |   3   | 5
     |              |   5   | 2
     | CGCM3-CURRENT|   1   | 7
     |              |   2   | 4
     |              |   3   | 7
     |              |   5   | 2
     | CGCM3-FUTURE |   1   | 2
     |              |   2   | 4
     |              |   3   | 7
     |              |   5   | 3
     | NCEP         |   1   | 3
     |              |   2   | 7
     |              |   3   | 10
     |              |   5   | 3
ECP2 | GFDL-CURRENT |   1   | 1
     |              |   2   | 2
     |              |   3   | 5
     |              |   5   | 1
     | GFDL-FUTURE  |   1   | 1
     |              |   2   | 3
     |              |   3   | 2
     |              |   5   | 2
     | NCEP         |   1   | 1
     |              |   2   | 2
     |              |   3   | 1
     |              |   5   | 2
HRM3 | GFDL-CURRENT |   1   | 1
     |              |   2   | 1
     |              |   3   | 1
     |              |   5   | 5
     | GFDL-FUTURE  |   1   | 1
     |              |   2   | 1
     |              |   3   | 1
     |              |   5   | 4
     |HADCM3-CURRENT|   1   | 4
     |              |   2   | 3
     |              |   3   | 4
     |              |   5   | 3
     | HADCM3-FUTURE|   1   | 5
     |              |   2   | 5
     |              |   3   | 6
     |              |   5   | 1
     | NCEP         |   1   | 3
     |              |   2   | 3
     |              |   3   | 8
     |              |   5   | 5
MM5I | CCSM-CURRENT |   1   | 1
     |              |   2   | 5
     |              |   3   | 10
     |              |   5   | 2
     | CCSM-FUTURE  |   1   | 1
     |              |   2   | 3
     |              |   3   | 8
     |              |   5   | 1
     |HADCM3-CURRENT|   1   | 3
     |              |   2   | 3
     |              |   3   | 1
     |              |   5   | 1
     | NCEP         |   1   | 1
     |              |   2   | 4
     |              |   3   | 3
     |              |   5   | 3
RCM3 | CGCM3-CURRENT|   1   | 4
     |              |   2   | 2
     |              |   3   | 5
     |              |   5   | 1
     | CGCM3-FUTURE |   1   | 4
     |              |   2   | 2
     |              |   3   | 5
     |              |   5   | 1
     | GFDL-CURRENT |   1   | 3
     |              |   2   | 3
     |              |   3   | 5
     |              |   5   | 1
     | GFDL-FUTURE  |   1   | 3
     |              |   2   | 3
     |              |   3   | 5
     |              |   5   | 1
     | NCEP         |   1   | 3
     |              |   2   | 5
     |              |   3   | 7
     |              |   5   | 1
WRFG | CCSM-CURRENT |   1   | 3
     |              |   2   | 1
     |              |   3   | 6
     |              |   5   | 3
     | CCSM-FUTURE  |   1   | 3
     |              |   2   | 1
     |              |   3   | 6
     |              |   5   | 1
     | CGCM3-CURRENT|   1   | 1
     |              |   2   | 1
     |              |   3   | 6
     |              |   5   | 1
     | CGCM3-FUTURE |   1   | 1
     |              |   2   | 2
     |              |   3   | 7
     |              |   5   | 1
     | NCEP         |   1   | 3
     |              |   2   | 2
     |              |   3   | 5
     |              |   5   | 4      
